,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
54,I105,E,209126889_0,2193652051,293918262,"LINESTRING (1979671.9389296083 547606.0792250312, 1979896.897259455 547500.3562675917)",716440,9,POINT (1979026.3049746968 547629.1439682009)
55,I105,E,26793247_0,293918262,293918231,"LINESTRING (1979896.897259455 547500.3562675917, 1979946.8366746856 547474.1812302112)",716440,9,POINT (1979026.3049746968 547629.1439682009)
56,I105,E,172595267_0,293918231,293918240,"LINESTRING (1979946.8366746856 547474.1812302112, 1980151.3641114477 547363.1398132389)",716440,9,POINT (1979026.3049746968 547629.1439682009)
57,I105,E,26793249_0,293918240,293918242,"LINESTRING (1980151.3641114477 547363.1398132389, 1980505.26952137 547177.6245511244)",760236,5,POINT (1981074.8821185785 546877.229594707)
58,I105,E,33783941_0,293918242,386847558,"LINESTRING (1980505.26952137 547177.6245511244, 1980675.7804023451 547088.3517427163)",760236,5,POINT (1981074.8821185785 546877.229594707)
59,I105,E,33783940_0,386847558,322927827,"LINESTRING (1980675.7804023451 547088.3517427163, 1981000.4619693789 546918.3013135203)",760236,5,POINT (1981074.8821185785 546877.229594707)
60,I105,E,33783940_1,322927827,386847240,"LINESTRING (1981000.4619693789 546918.3013135203, 1981048.3383049362 546893.1347298996)",760236,5,POINT (1981074.8821185785 546877.229594707)
61,I105,E,33783866_0,386847240,386847243,"LINESTRING (1981048.3383049362 546893.1347298996, 1981100.7781167803 546865.5742450502)",760236,5,POINT (1981074.8821185785 546877.229594707)
62,I105,E,33783883_0,386847243,322927794,"LINESTRING (1981100.7781167803 546865.5742450502, 1981273.8162834018 546767.4333437138)",760236,5,POINT (1981074.8821185785 546877.229594707)
63,I105,E,79102681_0,322927794,924394598,"LINESTRING (1981273.8162834018 546767.4333437138, 1981324.1425114146 546745.801723986)",760236,5,POINT (1981074.8821185785 546877.229594707)
64,I105,E,79102958_0,924394598,322927769,"LINESTRING (1981324.1425114146 546745.801723986, 1981434.0427348437 546688.5332979849)",716449,6,POINT (1982056.6583673677 546354.9375826933)
65,I105,E,33617148_0,322927769,924394560,"LINESTRING (1981434.0427348437 546688.5332979849, 1981625.4301974506 546583.5072007051)",716449,6,POINT (1982056.6583673677 546354.9375826933)
66,I105,E,79102901_0,924394560,924394637,"LINESTRING (1981625.4301974506 546583.5072007051, 1981675.9259129283 546557.8062366189)",716449,6,POINT (1982056.6583673677 546354.9375826933)
67,I105,E,79102717_0,924394637,4012986454,"LINESTRING (1981675.9259129283 546557.8062366189, 1981845.0365729597 546469.2231850731)",716449,6,POINT (1982056.6583673677 546354.9375826933)
68,I105,E,398550179_0,4012986454,626489384,"LINESTRING (1981845.0365729597 546469.2231850731, 1981998.671278257 546386.1084492382)",716449,6,POINT (1982056.6583673677 546354.9375826933)
69,I105,E,49331100_0,626489384,626489385,"LINESTRING (1981998.671278257 546386.1084492382, 1982023.114818292 546372.8500830259)",716449,6,POINT (1982056.6583673677 546354.9375826933)
70,I105,E,49331101_0,626489385,384342536,"LINESTRING (1982023.114818292 546372.8500830259, 1982077.7424393587 546345.0579386061)",718155,9,POINT (1982941.9441143908 545956.7171502344)
71,I105,E,33617112_0,384342536,384342253,"LINESTRING (1982077.7424393587 546345.0579386061, 1982409.3984587549 546177.9716790753)",718155,9,POINT (1982941.9441143908 545956.7171502344)
72,I105,E,865240947_0,384342253,1349128522,"LINESTRING (1982409.3984587549 546177.9716790753, 1982437.2120747345 546166.1611309003)",718155,9,POINT (1982941.9441143908 545956.7171502344)
73,I105,E,120291876_0,1349128522,1349128518,"LINESTRING (1982437.2120747345 546166.1611309003, 1982479.7272949049 546148.1001018964)",718155,9,POINT (1982941.9441143908 545956.7171502344)
74,I105,E,120291883_0,1349128518,1341363406,"LINESTRING (1982479.7272949049 546148.1001018964, 1982921.3947716262 545966.6714983253)",718155,9,POINT (1982941.9441143908 545956.7171502344)
75,I105,E,119361826_0,1341363406,1341363389,"LINESTRING (1982921.3947716262 545966.6714983253, 1982961.9260811992 545950.0139643818)",718155,9,POINT (1982941.9441143908 545956.7171502344)
76,I105,E,119361794_0,1341363389,384342257,"LINESTRING (1982961.9260811992 545950.0139643818, 1983041.1594190134 545917.4681403266)",716453,7,POINT (1983850.620072239 545616.6646250502)
77,I105,E,398543386_0,384342257,1341363395,"LINESTRING (1983041.1594190134 545917.4681403266, 1983264.0592970203 545826.5611722312)",716453,7,POINT (1983850.620072239 545616.6646250502)
78,I105,E,398543388_0,1341363395,384377566,"LINESTRING (1983264.0592970203 545826.5611722312, 1983362.3510204058 545786.4742306677)",716453,7,POINT (1983850.620072239 545616.6646250502)
79,I105,E,119361798_0,384377566,384342260,"LINESTRING (1983362.3510204058 545786.4742306677, 1983612.6321295653 545685.0886960406)",716453,7,POINT (1983850.620072239 545616.6646250502)
80,I105,E,119361786_0,384342260,384342266,"LINESTRING (1983612.6321295653 545685.0886960406, 1984184.7323814004 545598.2646971687)",716456,5,POINT (1984816.1842853916 545637.776822767)
81,I105,E,119361786_1,384342266,384342267,"LINESTRING (1984184.7323814004 545598.2646971687, 1984348.9352193295 545602.4015743864)",716456,5,POINT (1984816.1842853916 545637.776822767)
82,I105,E,32018779_0,384342267,384342248,"LINESTRING (1984348.9352193295 545602.4015743864, 1985817.2091305524 545754.584976317)",716460,3,POINT (1986254.162952116 545794.0498287647)
83,I105,E,864577117_0,384342248,384456058,"LINESTRING (1985817.2091305524 545754.584976317, 1986470.4685807193 545806.6218734081)",716460,3,POINT (1986254.162952116 545794.0498287647)
84,I105,E,865313355_0,384456058,384403181,"LINESTRING (1986470.4685807193 545806.6218734081, 1987406.1276216481 545815.6453043323)",760301,7,POINT (1986735.555509439 545811.2092376946)
